鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,建物,光華二街108巷1～30號,0,,,,10109,,四層,5,套房,住家用，共同使用部份,鋼筋混凝土造,7807,1房,1廳,1衛,有隔間,無管理組織,7500,438,,0,0,無
北區,建物,北新街121～150號,0,,,,10108,,十層,10,套房,見其他登記事項,鋼筋混凝土造,9803,2房,1廳,1衛,有隔間,有管理組織,16000,1022,,0,0,無
東區,建物,林森路271～300號,20.81,商20.81,,,10108,,十二層,17,套房,共同使用部份,鋼筋混凝土造,8605,1房,,1衛,有隔間,有管理組織,5400,290,,0,0,無
北區,建物,武陵路175巷1～30號,0,,,,10109,建物1,十七層,21,華廈,住家用，見其他登記事項,鋼筋混凝土造,8707,3房,2廳,2衛,有隔間,有管理組織,12500,267,,0,0,無
北區,建物,經國路二段151～180號,0,,,,10108,,四層,10,套房,見其他登記事項,鋼筋混凝土造,9707,1房,1廳,1衛,有隔間,有管理組織,13000,960,,0,0,無
東區,建物,民生路211巷1～30號,0,,,,10108,建物1,七層,7,華廈,共同使用部份，住家用,鋼筋混凝土造,,3房,2廳,2衛,有隔間,無管理組織,17500,445,,0,0,無
東區,建物,東區光復路二段298巷9弄1～30號,0,,,,10109,建物1,四層,7,華廈,住家用，見其他登記事項,鋼筋混凝土造,8407,3房,2廳,2衛,有隔間,有管理組織,15000,377,,0,0,無
東區,建物,自由路16巷19弄1～30號,0,,,,10108,建物1,四層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7710,3房,2廳,2衛,有隔間,無管理組織,12000,335,,0,0,無
香山區,建物,中華路四段451巷110弄1～30號,0,,山坡地保育區,,10109,建物1,一層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8110,2房,2廳,2衛,有隔間,無管理組織,10000,350,,0,0,無
東區,建物,東區振興路91～120號,0,,,,10108,建物1,二層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8209,3房,2廳,2衛,有隔間,有管理組織,12000,349,,0,0,無
東區,建物,東區建功一路91～120號,0,,,,10108,建物1,四層,12,住宅大樓,國民住宅，見其他登記事項,鋼筋混凝土造,8909,3房,2廳,2衛,有隔間,有管理組織,15000,384,,0,0,無
東區,建物,東大路一段25巷1～30號,0,,,,10108,建物1,三層,5,公寓,共同使用部份，住家用,鋼筋混凝土造,8201,3房,2廳,2衛,有隔間,無管理組織,13500,423,,0,0,無
東區,建物,東區光復路二段393巷4弄1～30號,0,,,,10108,建物1,三層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7802,3房,2廳,2衛,有隔間,無管理組織,15000,406,,0,0,無
東區,建物,東區光復路一段41巷1～30號,0,,,,10108,,二層,6,套房,共同使用部份，住家用,鋼筋混凝土造,8505,1房,,1衛,有隔間,無管理組織,4500,126,,0,0,隔間分租套房
北區,建物,經國路二段181～210號,0,,,,10108,,十一層,11,套房,見其他登記事項,鋼筋混凝土造,9711,1房,,,有隔間,有管理組織,12000,1135,,0,0,無
北區,建物,經國路二段151～180號,0,,,,10108,,八層,10,套房,見其他登記事項,鋼筋混凝土造,9707,1房,1廳,1衛,無隔間,有管理組織,13000,960,,0,0,無
北區,建物,北區城北街61～90號,0,,,,10108,建物1,一層,4,店面,住商用,鋼筋混凝土造,6404,,,1衛,有隔間,無管理組織,38000,2361,,0,0,無
東區,建物,東區建功一路91～120號,0,,,,10109,建物1,四層,12,住宅大樓,國民住宅，見其他登記事項,鋼筋混凝土造,8704,3房,2廳,2衛,有隔間,有管理組織,18000,457,,0,0,無
北區,建物,經國路二段511～540號,0,,,,10108,建物1車位1,十一層,13,住宅大樓,見其他登記事項,鋼筋混凝土造,9512,2房,1廳,1衛,有隔間,有管理組織,15000,570,坡道平面,0,0,無
東區,建物,東區東明街138巷1～30號,0,,,,10108,建物1車位1,三層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8209,2房,2廳,2衛,有隔間,有管理組織,11500,311,坡道機械,0,0,無
東區,建物,建中一路1～30號,0,,,,10108,建物1車位1,十五層,19,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8607,3房,2廳,2衛,有隔間,有管理組織,19000,405,坡道平面,0,0,無
北區,建物,北區東大路二段232巷1～30號,0,,,,10108,建物1車位1,十二層,13,住宅大樓,見其他登記事項,鋼筋混凝土造,9302,4房,2廳,2衛,有隔間,有管理組織,18000,314,坡道平面,0,0,無
北區,建物,北區湳雅街181～210號,0,,,,10108,建物1車位1,一層,14,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8101,4房,2廳,1衛,有隔間,有管理組織,12000,160,坡道機械,0,0,無
東區,建物,東區東南街271～300號,0,,,,10109,建物1,見其他登記事項,2,店面,住商用,加強磚造,,3房,2廳,2衛,有隔間,無管理組織,22000,582,,0,0,無
香山區,建物,經國路三段2巷31～60號,0,,,,10108,建物1車位1,一層,9,華廈,住家用，共同使用部份,鋼筋混凝土造,8712,3房,2廳,2衛,有隔間,有管理組織,13000,167,坡道機械,0,0,無
東區,建物,光華街27巷1～30號,0,,,,10108,建物1,五層,5,公寓,住家用,鋼筋混凝土造,7812,3房,2廳,2衛,有隔間,有管理組織,9000,280,,0,0,無
東區,建物,自由路91～120號,0,,,,10108,,九層,12,套房,見使用執照，共同使用部份,鋼筋混凝土造,8012,1房,,1衛,無隔間,有管理組織,8500,581,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10108,,二層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7500,1078,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10109,,四層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7000,1006,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10108,,一層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7000,1157,,0,0,無
北區,建物,東門街112巷1～30號,0,,,,10109,,一層,4,透天厝,住家用,磚造,4401,1房,,1衛,無隔間,無管理組織,7500,1078,,0,0,無
北區,建物,天府路61～90號,0,,,,10109,建物1,一層,5,店面,見其他登記事項,鋼筋混凝土造,9403,1房,1廳,1衛,有隔間,無管理組織,11000,808,,0,0,成交住址為天府路一段410號
東區,建物,東區金山東街31～60號,166,住166,,,10108,,二層,5,透天厝,見其他登記事項,鋼筋混凝土造,9911,1房,,1衛,有隔間,無管理組織,5500,909,,0,0,分租套房
東區,建物,金山十街91～120號,91.98,住91.98,,,10108,,二層,5,透天厝,見其他登記事項,鋼筋混凝土造,10005,1房,,1衛,有隔間,無管理組織,7300,1724,,0,0,分租套房
東區,建物,金山北三街91～120號,99,住99,,,10108,,一層,4,透天厝,見其他登記事項,鋼筋混凝土造,8907,1房,,1衛,有隔間,無管理組織,5500,866,,0,0,分租套房
東區,建物,明湖路721～750號,0,,,,10108,建物1,地下二層,7,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,1房,,1衛,無隔間,有管理組織,9000,615,,0,0,無
東區,建物,竹蓮街151～180號,0,,,,10108,,四層,5,華廈,見其他登記事項,鋼筋混凝土造,9704,1房,,1衛,有隔間,無管理組織,6000,1417,,0,0,無
東區,建物,竹蓮街151～180號,0,,,,10108,,三層,5,華廈,見其他登記事項,鋼筋混凝土造,9704,1房,,1衛,無隔間,無管理組織,6000,1240,,0,0,無
香山區,地+建,中山路721～750號,124,住124,,,10108,土地1,三層,4,套房,住家用,鋼筋混凝土造,9501,1房,,1衛,有隔間,無管理組織,5000,1112,,0,0,無
北區,地+建,中正路284巷1～30號,1591,住1591,,,10108,土地1建物1,二層,5,公寓,住家用,,,3房,2廳,2衛,有隔間,無管理組織,7500,335,,0,0,承租方只承租2房，另1房房東自住。
東區,地+建,東大路一段1～30號,490,,,,10108,土地1建物1,五層,8,華廈,住商用,鋼筋混凝土造,6707,2房,2廳,1衛,有隔間,無管理組織,11000,463,,0,0,無
東區,地+建,中央路151～180號,35.8,住35.8,,,10108,土地1建物1,十九層,26,住宅大樓,見其他登記事項,鋼筋混凝土造,9611,3房,2廳,2衛,有隔間,有管理組織,38000,933,,0,0,無
東區,建物,東明街138巷1～30號,0,,,,10108,建物1車位1,三層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,8209,2房,2廳,2衛,有隔間,有管理組織,11500,311,坡道機械,0,0,無
北區,建物,城北街61～90號,0,,,,10108,建物1,一層,4,店面,住商用,鋼筋混凝土造,6404,,,1衛,有隔間,無管理組織,38000,2361,,0,0,撤銷申報書序號：C1OA10108270012(因建物門牌輸入錯誤)
北區,建物,湳雅街181～210號,0,,,,10108,建物1車位1,一層,14,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8101,4房,2廳,1衛,有隔間,有管理組織,12000,160,坡道機械,0,0,撤銷申報書序號：C1OA10108270029(因建號輸入錯誤)
東區,地+建,南外街1～30號,97,住97,,,10108,土地1,四層,5,套房,見其他登記事項,鋼筋混凝土造,9612,1房,,1衛,有隔間,無管理組織,6000,800,,0,0,無
東區,地+建,食品路301～330號,370,,,,10108,土地1建物1,三層,4,公寓,住商用,鋼筋混凝土造,7709,3房,2廳,1衛,有隔間,無管理組織,12500,446,,0,0,無
北區,地+建,東門街112巷1～30號,72,住72,,,10108,土地1,三層,4,套房,住家用,磚造,4401,1房,,1衛,有隔間,無管理組織,4500,1286,,0,0,無
東區,地+建,食品路326巷22弄1～30號,112,住112,,,10108,土地1,四層,4,套房,住家用,加強磚造,6806,1房,1廳,1衛,有隔間,無管理組織,8500,709,,0,0,無
北區,地+建,東門街112巷1～30號,72,住72,,,10108,土地1,二層,4,套房,住家用,磚造,4401,1房,,1衛,有隔間,無管理組織,4500,1286,,0,0,無
東區,地+建,中華路二段721～750號,102,住102,,,10108,土地1,二層,2,套房,住商用,加強磚造,6503,1房,,1衛,有隔間,無管理組織,6500,929,,0,0,無
東區,地+建,中正路96巷1～30號,461,住461,,,10108,土地1建物1,三層,10,華廈,,鋼筋混凝土造,9712,2房,1廳,1衛,有隔間,有管理組織,15000,943,,0,0,無
東區,地+建,光復路二段155巷2弄1～30號,784,住784,,,10108,土地1,二層,5,套房,住家用,鋼筋混凝土造,7407,1房,,1衛,有隔間,無管理組織,5300,1061,,0,0,無
東區,地+建,鐵道路一段151～180號,411,住411,,,10108,土地1建物1,二層,5,華廈,住家用,鋼筋混凝土造,8211,2房,2廳,1衛,有隔間,無管理組織,10000,436,,0,0,無
北區,建物,北區經國路二段218巷12弄1～30號,0,,,,10109,建物1,五層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7506,3房,2廳,2衛,有隔間,有管理組織,8000,262,,0,0,無
東區,建物,北區經國路一段721～750號,0,,,,10109,,九層,9,套房,見其他登記事項,鋼筋混凝土造,9507,1房,1廳,1衛,有隔間,有管理組織,12000,1082,,0,0,無
東區,建物,關新路1～30號,0,,,,10109,,十三層,13,套房,見其他登記事項,鋼筋混凝土造,9709,1房,1廳,1衛,無隔間,有管理組織,13500,1328,,0,0,無
北區,建物,東大路二段190巷31～60號,0,,,,10109,建物1車位1,六層,7,華廈,國民住宅，共同使用部份，見其他登記事項,鋼筋混凝土造,8610,3房,2廳,2衛,有隔間,有管理組織,14000,316,坡道平面,0,0,無
東區,建物,民主路241～270號,0,,,,10108,建物1車位2,三層,8,華廈,共同使用部份，住家用,鋼筋混凝土造,8407,4房,3廳,3衛,有隔間,有管理組織,20000,604,坡道平面|坡道機械,0,0,無
東區,建物,南大路616巷83弄91～120號,0,,,,10109,建物1,二層,7,華廈,共同使用部份，住家用,鋼筋混凝土造,8012,3房,2廳,2衛,有隔間,無管理組織,12000,373,,0,0,成交住址為振興一街187號2樓之1
香山區,建物,中華路五段31～60號,0,,,,10109,建物1,十一層,12,住宅大樓,住家用,鋼筋混凝土造,8310,4房,1廳,2衛,有隔間,有管理組織,11000,410,,0,0,無
東區,建物,東區四維路1～30號,0,,,,10109,,十層,12,套房,共同使用部份，見使用執照,鋼筋混凝土造,8007,1房,,1衛,無隔間,有管理組織,7000,414,,0,0,無
北區,建物,北區經國路二段151～180號,0,,,,10109,,六層,10,套房,見其他登記事項,鋼筋混凝土造,9707,1房,1廳,1衛,有隔間,有管理組織,15000,1137,,0,0,無
香山區,土地,力行段661～690地號,236.21,,山坡地保育區,丙建236.21,10110,土地1,見其他登記事項,2,透天厝,,,,3房,1廳,2衛,有隔間,無管理組織,30000,420,,0,0,"此土地上有一棟未登記之建物(門牌為中華路四段411巷15號),因無建號資料,故於此說明"
東區,建物,東區埔頂二路121～150號,0,,,,10109,建物1車位2,十二層,15,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10011,4房,2廳,2衛,有隔間,有管理組織,35000,353,坡道平面,62.92,0,無
北區,建物,西門街31～60號,0,,,,10109,建物1,一層,4,透天厝,商業用,加強磚造,,,,,無隔間,無管理組織,130000,16248,,0,0,無
北區,建物,西安街31～60號,0,,,,10109,,三層,4,透天厝,住商用,加強磚造,6010,1房,,1衛,無隔間,無管理組織,6800,1249,,0,0,無
北區,建物,北大路301～330號,120.51,商120.51,,,10108,建物1,一層,2,店面,住家用,加強磚造,,,,,無隔間,無管理組織,125000,3429,,0,0,承租範圍只有1樓部份 撤銷申報書序號為C1OA10109060037
北區,建物,經國路二段248巷26弄1～30號,0,,,,10108,建物1,見其他登記事項,2,透天厝,住家用,鋼筋混凝土造,7508,4房,2廳,2衛,有隔間,無管理組織,15000,292,,0,0,租賃層次為全部 撤銷申報書序號為C1OA10109060033
北區,建物,延平路91～120號,0,,,,10108,建物1,一層,2,店面,住商用,加強磚造,6401,1房,1廳,1衛,有隔間,無管理組織,22000,874,,0,0,門牌整編過為延平路一段160號1樓 撤銷申報書為C1OA10109060016
東區,建物,公道五路二段151～180號,0,,,,10108,建物1,一層,4,透天厝,見其他登記事項,鋼筋混凝土造,9510,,,,有隔間,無管理組織,30000,1955,,0,0,撤銷申報書序號：C1OA10109060036
東區,建物,東區慈祥路61～90號,0,,,,10108,建物1車位2,八層,12,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10003,3房,2廳,2衛,有隔間,有管理組織,30000,723,坡道平面,0,0,無
東區,建物,東區慈祥路61～90號,0,,,,10108,建物1車位2,二層,12,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10003,4房,2廳,2衛,有隔間,有管理組織,35000,644,坡道平面,0,0,無
東區,建物,民主路31～60號,0,,,,10109,建物1,一層,4,店面,見其他登記事項,鋼筋混凝土造,9207,,,,無隔間,無管理組織,20000,1109,,0,0,無
北區,建物,北區中華路三段121巷31～60號,0,,,,10109,建物1車位1,二層,5,公寓,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8712,4房,2廳,2衛,有隔間,有管理組織,20000,459,坡道平面,0,0,無
東區,建物,經國路一段511～540號,0,,,,10109,建物1,八層,18,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8505,3房,2廳,2衛,有隔間,有管理組織,12000,337,,0,0,無
東區,建物,東明街173巷3弄1～30號,0,,,,10109,建物1,二層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,,2房,1廳,1衛,有隔間,無管理組織,10000,694,,0,0,撤銷申報書序號：C1OA10109060031
東區,地+建,金山北二街61～90號,6.78,住6.78,,,10108,土地1建物1,四層,6,套房,住家用,鋼筋混凝土造,9502,1房,1廳,1衛,有隔間,無管理組織,9500,721,,0,0,無
東區,建物,東區光復路二段298巷7弄1～30號,0,,,,10109,建物1,三層,7,華廈,住家用，見其他登記事項,鋼筋混凝土造,8407,3房,2廳,2衛,有隔間,有管理組織,16000,329,,0,0,無
東區,地+建,光復路一段89巷121～150號,542.65,住542.65,,,10108,土地1,四層,7,套房,住家用,鋼筋混凝土造,8003,1房,,1衛,有隔間,無管理組織,5000,1112,,0,0,無
東區,建物,東區明湖路751～780號,0,,,,10109,,地下四層,4,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,1房,,1衛,有隔間,有管理組織,8000,547,,0,0,無
東區,建物,明湖路721～750號,0,,,,10109,,地下二層,4,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,9402,1房,,1衛,無隔間,有管理組織,8000,547,,0,0,無
東區,建物,東區中華路三段1～30號,0,,,,10109,,六層,14,套房,住家用，共同使用部份,鋼筋混凝土造,8904,1房,,1衛,有隔間,有管理組織,10000,687,,0,0,無
東區,建物,民族路241～270號,0,,,,10109,建物1車位1,七層,7,華廈,共同使用部份，住家用,鋼筋混凝土造,8501,2房,2廳,1衛,有隔間,無管理組織,15500,441,坡道機械,0,0,無
香山區,建物,香山區富群街85巷18弄31～60號,0,,山坡地保育區,,10109,建物1,見其他登記事項,4,透天厝,住家用,鋼筋混凝土造,8706,4房,2廳,3衛,無隔間,有管理組織,30000,420,,0,0,租賃層次為全部
東區,建物,東區明湖路648巷121～150號,0,,山坡地保育區,,10109,建物1,見其他登記事項,3,透天厝,見其他登記事項,鋼筋混凝土造,8703,4房,2廳,2衛,無隔間,有管理組織,20000,314,,0,0,租賃層次為全部
北區,建物,光華二街108巷1～30號,0,,,,10109,建物1,五層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,,2房,1廳,1衛,有隔間,無管理組織,10000,468,,0,0,無
北區,建物,東大路二段181～210號,0,,,,10109,建物1,一層,2,店面,住商用,加強磚造,,,,,無隔間,無管理組織,20000,838,,0,0,無
香山區,建物,香山區牛埔東路241～270號,0,,,,10109,建物1,十四層,16,住宅大樓,住家用，共同使用部份,鋼骨鋼筋混凝土造,8509,3房,2廳,2衛,有隔間,有管理組織,12000,384,,0,0,無
北區,建物,北新街121～150號,0,,,,10109,建物1,六層,10,華廈,見其他登記事項,鋼筋混凝土造,9803,2房,2廳,1衛,有隔間,有管理組織,16000,1029,,0,0,無
北區,建物,東大路二段172巷31～60號,0,,,,10109,建物1,二層,7,華廈,國民住宅，共同使用部份,鋼筋混凝土造,8610,3房,2廳,2衛,有隔間,有管理組織,12000,267,,0,0,無
北區,建物,光華二街81巷10弄61～90號,0,,,,10109,建物1車位1,四層,8,華廈,住家用,鋼筋混凝土造,8205,4房,2廳,2衛,有隔間,有管理組織,16000,414,坡道平面,0,0,無
東區,地+建+車,關新路1～30號,4.91,它4.91,,,10109,土地1建物1車位1,三層,13,套房,見其他登記事項,鋼筋混凝土造,9709,1房,,1衛,有隔間,有管理組織,11000,3792,坡道平面,8.52,0,無
東區,地+建,光復路1段243巷1～30號,165.07,住165.07,,,10108,土地2,四層,5,透天厝,見其他登記事項,鋼筋混凝土造,9303,1房,,1衛,有隔間,無管理組織,5300,1460,,0,0,分租套房
東區,地+建,金山11街2巷53弄31～60號,92.71,住92.71,,,10109,土地1,一層,5,透天厝,見其他登記事項,鋼筋混凝土造,9602,1房,,,有隔間,無管理組織,6500,1343,,0,0,分租套房
東區,地+建,金山23街1～30號,37.28,住37.28,,,10109,土地1建物1,二層,6,華廈,見其他登記事項,鋼筋混凝土造,9303,4房,1廳,2衛,有隔間,無管理組織,28000,721,,0,0,無
東區,建物,埔頂三路151～180號,0,,,,10109,建物1,八層,15,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10102,3房,2廳,2衛,有隔間,有管理組織,16500,450,,0,0,無
東區,建物,光復路一段61～90號,14.81,住14.81,,,10108,,一層,6,華廈,住商用,鋼筋混凝土造,8808,1房,,1衛,有隔間,無管理組織,5000,972,,0,0,分租套房
東區,土地,長春段1561～1590地號,200,,,,10108,土地1,見其他登記事項,0,其他,,,,,,,無隔間,無管理組織,70000,1157,,0,0,未辦保存建物一棟，無建物門牌，租金自第4年起每年調漲5%。 因17欄登打有誤，所以重新送件 原申報表序號C1OA10109050017
東區,建物,北大路1～30號,0,,,,10108,建物1,十二層,28,住宅大樓,見其他登記事項,鋼骨鋼筋混凝土造,9607,3房,2廳,2衛,有隔間,有管理組織,29000,1039,,0,0,無
東區,建物,新莊街121～150號,0,,,,10109,建物1,五層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8408,3房,2廳,1衛,有隔間,有管理組織,15000,493,,0,0,無
東區,建物,關新路1～30號,0,,,,10108,,十三層,13,套房,見其他登記事項,鋼筋混凝土造,9709,1房,1廳,1衛,無隔間,有管理組織,13500,1328,,0,0,撤銷申報書編號：C1OA10109060007
東區,建物,東光路31～60號,0,,,,10108,建物1,三層,4,公寓,住家用，共同使用部份,鋼筋混凝土造,,3房,2廳,2衛,無隔間,有管理組織,11000,495,,0,0,撤銷申報書序號：C1OA10109060018 成交住址為：新竹市東光路42巷33號3樓
東區,建物,明湖路721～750號,0,,,,10109,建物1,地下二層,4,套房,見其他登記事項,鋼筋混凝土造,9402,1房,,1衛,有隔間,有管理組織,8000,854,,0,0,無
東區,建物,振興路91～120號,0,,,,10108,建物1,見使用執照,7,華廈,住商用,鋼筋混凝土造,8209,2房,2廳,2衛,有隔間,有管理組織,27500,907,,0,0,使用1.2層樓
東區,建物,南大路241～270號,0,,,,10108,建物1,八層,9,套房,住商用,鋼筋混凝土造,8104,1房,1廳,1衛,有隔間,有管理組織,6500,754,,0,0,撤銷C2OA101083100222登錄有誤
東區,建物,南大路241～270號,0,,,,10108,建物1,八層,9,套房,住商用,鋼筋混凝土造,8104,1房,1廳,1衛,有隔間,有管理組織,6500,848,,0,0,撤銷C20A10108310021登錄有誤
東區,建物,明湖路721～750號,0,,,,10108,建物1,地下一層,4,套房,見其他登記事項,鋼筋混凝土造,9402,1房,1廳,1衛,有隔間,有管理組織,11000,1174,,0,0,撤銷C2OA10108310018登錄有誤
東區,建物,明湖路721～750號,0,,,,10108,建物1,地下一層,4,套房,見其他登記事項,鋼筋混凝土造,9402,1房,1廳,1衛,有隔間,有管理組織,10000,1067,,0,0,撤銷C2OA10108310016登錄有誤
北區,建物,中正路391～420號,0,,,,10108,建物1,六層,7,華廈,住家用,鋼筋混凝土造,7010,2房,1廳,1衛,有隔間,有管理組織,8000,550,,0,0,撤銷C2OA10108310011登錄有誤
東區,建物,光復路二段298巷7弄1～30號,0,,,,10109,建物1,九層,10,華廈,住家用,鋼筋混凝土造,8407,3房,2廳,2衛,有隔間,有管理組織,17000,492,,0,0,撤銷C1OA10109050014登錄有誤
北區,建物,竹光路1～30號,0,,,,10108,建物1,七層,14,住宅大樓,住家用,鋼筋混凝土造,8602,1房,,1衛,有隔間,有管理組織,5500,798,,0,0,無
北區,建物,少年街31～60號,0,,,,10108,建物1,八層,9,華廈,住家用,鋼筋混凝土造,8301,1房,1廳,1衛,有隔間,有管理組織,8500,512,,0,0,無
東區,地+建,民享街61～90號,70,,,,10109,土地1建物1,見其他登記事項,3,透天厝,,鋼筋混凝土造,8809,,,4衛,無隔間,無管理組織,26000,605,,0,0,全棟租賃
北區,建物,武陵路1～30號,0,,,,10108,建物1,七層,26,住宅大樓,見其他登記事項,鋼筋混凝土造,9708,3房,2廳,2衛,有隔間,有管理組織,36000,720,,0,0,無
東區,地+建+車,關新路19巷31～60號,17.92,住17.92,,,10108,土地1建物1車位2,十五層,15,住宅大樓,見其他登記事項,鋼筋混凝土造,9807,4房,2廳,2衛,有隔間,有管理組織,24000,812,坡道平面,44.96,0,無
東區,建物,埔頂二路121～150號,0,,,,10109,建物1車位1,十二層,15,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10011,3房,2廳,2衛,有隔間,有管理組織,30000,549,坡道平面,0,0,無
東區,建物,東區埔頂三路61～90號,0,,,,10109,建物1車位1,十層,14,住宅大樓,共同使用部份，見其他登記事項,鋼筋混凝土造,10005,4房,2廳,2衛,有隔間,有管理組織,20000,424,坡道平面,0,0,無
東區,建物,明湖路1008巷29弄1～30號,0,,山坡地保育區,,10109,建物1,見其他登記事項,2,透天厝,住家用,加強磚造,7110,7房,2廳,3衛,有隔間,無管理組織,28000,723,,0,0,租賃層次為全部
香山區,建物,香山區五福路一段19巷18弄1～30號,0,,山坡地保育區,,10109,建物1,見其他登記事項,4,透天厝,見其他登記事項,鋼筋混凝土造,8909,4房,2廳,3衛,無隔間,無管理組織,14000,263,,0,0,租賃層次為全部
東區,建物,北區中央路245巷31～60號,0,,,,10109,,三層,11,套房,見其他登記事項，共同使用部份,鋼筋混凝土造,10102,1房,1廳,1衛,無隔間,有管理組織,18000,844,,0,0,無
東區,建物,明權路1～30號,0,,,,10109,建物1,三層,14,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10004,4房,2廳,3衛,有隔間,有管理組織,31000,394,,0,0,無
香山區,建物,北區經國路三段2巷31～60號,0,,,,10109,建物1,二層,9,華廈,住家用，共同使用部份,鋼筋混凝土造,8712,4房,2廳,2衛,有隔間,有管理組織,20000,393,,0,0,無
東區,建物,北大路40巷1～30號,0,,,,10109,建物1,二層,7,華廈,住家用,鋼筋混凝土造,8412,3房,2廳,2衛,有隔間,無管理組織,18000,673,,0,0,無
北區,建物,天府路一段511～540號,0,,,,10109,建物1,九層,14,住宅大樓,見其他登記事項,鋼筋混凝土造,9705,3房,2廳,2衛,有隔間,有管理組織,12500,401,,0,0,無
香山區,建物,牛埔東路241～270號,0,,,,10109,建物1,六層,16,住宅大樓,住家用，共同使用部份,鋼骨鋼筋混凝土造,8509,3房,1廳,2衛,有隔間,有管理組織,10000,405,,0,0,無
北區,建物,湳雅街311巷36弄31～60號,0,,,,10109,建物1,見其他登記事項,2,透天厝,住家用,鋼筋混凝土造,7803,4房,3廳,3衛,有隔間,無管理組織,13500,421,,0,0,無
東區,建物,北大路1～30號,0,,,,10109,建物1,六層,9,華廈,共同使用部份,鋼筋混凝土造,9908,2房,2廳,2衛,有隔間,有管理組織,26000,1257,,0,0,無
東區,建物,中正路96巷1～30號,0,,,,10109,建物1,三層,10,華廈,見其他登記事項,鋼筋混凝土造,9712,2房,1廳,1衛,有隔間,有管理組織,16000,1423,,0,0,無
東區,建物,關新路181～210號,0,,,,10109,建物1,四層,24,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10011,3房,2廳,2衛,有隔間,有管理組織,40000,718,,0,0,無
香山區,建物,牛埔東路1～30號,0,,,,10109,建物1車位1,十五層,15,住宅大樓,見其他登記事項,鋼筋混凝土造,9701,3房,2廳,2衛,有隔間,有管理組織,20000,359,坡道平面,0,0,無
北區,地+建,東大路二段172巷31～60號,20,,,,10110,建物1,五層,7,華廈,國民住宅,鋼筋混凝土造,8610,3房,2廳,2衛,有隔間,有管理組織,12000,267,,0,0,無
北區,地+建,光華二街56巷1～30號,24.12,住24.12,,,10110,土地1建物1,三層,5,華廈,住家用,鋼筋混凝土造,8002,2房,2廳,1衛,有隔間,無管理組織,12000,475,,0,0,無
東區,建物,光復路二段155巷61～90號,0,,,,10109,,一層,5,套房,見使用執照,鋼筋混凝土造,7805,1房,,1衛,有隔間,無管理組織,5800,893,,0,0,無
北區,建物,成功路65巷1～30號,0,,,,10109,建物1,二層,5,套房,住家用,鋼筋混凝土造,8507,1房,,1衛,有隔間,有管理組織,9500,1047,,0,0,無
北區,建物,經國路二段91～120號,0,,,,10109,建物1,十二層,12,套房,見其他登記事項,鋼筋混凝土造,8607,1房,,1衛,有隔間,有管理組織,7000,1101,,0,0,無
東區,建物,中華路三段1～30號,0,,,,10109,建物1,七層,14,套房,住家用,鋼筋混凝土造,8904,1房,,1衛,有隔間,有管理組織,11000,628,,0,0,無
東區,建物,高翠路160巷151～180號,0,,,,10109,建物1,三層,5,華廈,住家用,鋼筋混凝土造,8906,3房,2廳,2衛,有隔間,有管理組織,19000,657,,0,0,無
