鄉鎮市區,交易標的,土地區段位置／建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,單價(元／平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
東區,建物,民族路178巷1～30號,0,,,,10407,建物1,五層,9,華廈,見其他登記事項,鋼筋混凝土造,9610,3房,2廳,2衛,有隔間,有管理組織,27000,1069,,0,0,"租金含管理費,網路,第四台"
東區,建物,林森路271～300號,0,,,,10407,建物1,十二層,17,套房,,鋼筋混凝土造,8605,1房,1廳,1衛,有隔間,有管理組織,9000,885,,0,0,租金含管理費
北區,建物,延平路一段317巷3弄1～30號,0,,鄉村區,,10407,建物1,二層,5,華廈,見其他登記事項,鋼筋混凝土造,10208,2房,2廳,1衛,有隔間,有管理組織,16000,1060,,0,0,"租金含管理費,網路,第四台"
東區,建物,中正路96巷1～30號,0,,,,10407,建物1,十層,10,華廈,,鋼筋混凝土造,9712,2房,1廳,1衛,有隔間,有管理組織,15000,2049,,0,0,"租金含管理費,網路,第四台"
東區,地+建,關新路181～210號,26.53,住26.53,,,10407,土地1建物1,二十四層,24,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10011,4房,2廳,2衛,有隔間,有管理組織,40000,673,,0,0,無
東區,建物,中央路245巷31～60號,0,,,,10407,建物1,七層,11,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10102,1房,,1衛,有隔間,有管理組織,15500,382,,0,0,無
北區,建物,北大路331～360號,0,,,,10407,建物1,十二層,13,住宅大樓,住家用，見其他登記事項,鋼筋混凝土造,8601,2房,1廳,2衛,有隔間,有管理組織,20000,556,,0,0,無
香山區,地+建,樹下街270巷1～30號,73.16,,鄉村區,乙建73.16,10407,土地1建物1,見其他登記事項,2,透天厝,住家用,加強磚造,6711,2房,2廳,2衛,有隔間,無管理組織,6500,436,,0,0,無
東區,建物,博愛街51巷1～30號,0,,,,10407,建物1車位1,四層,5,公寓,住家用,鋼筋混凝土造,7410,3房,2廳,2衛,有隔間,無管理組織,16000,551,坡道平面,0,0,無
東區,建物,光華南街1～30號,0,,,,10407,建物1,四層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8403,2房,2廳,1衛,有隔間,無管理組織,11000,1025,,0,0,無
北區,建物,經國路二段211～240號,0,,,,10407,建物1,二層,5,公寓,住家用，共同使用部份,鋼筋混凝土造,7408,3房,2廳,1衛,有隔間,無管理組織,10000,294,,0,0,無
香山區,地+建+車,牛埔路121～150號,8.96,住8.96,,,10406,土地1建物1車位1,五層,15,套房,見其他登記事項,鋼筋混凝土造,9701,1房,1廳,1衛,有隔間,有管理組織,15000,1232,坡道平面,34.82,0,無
東區,地+建,北大路1～30號,4.64,商4.64,,,10407,土地1建物1,二十二層,28,住宅大樓,見其他登記事項,鋼骨鋼筋混凝土造,9607,3房,2廳,2衛,有隔間,有管理組織,35000,829,,0,0,無
東區,地+建+車,培英街1～30號,27.85,住27.85,,,10405,土地1建物1車位1,三層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8304,4房,2廳,2衛,有隔間,無管理組織,18000,388,升降機械,0,0,無
東區,建物,光復路二段511～540號,0,,,,10407,建物1,九層,12,住宅大樓,住家用，共同使用部份,鋼筋混凝土造,8310,4房,1廳,2衛,有隔間,無管理組織,19887,569,,0,0,租金含10%租賃稅、2%二代健保
東區,建物,明湖路1050巷181～210號,0,,山坡地保育區,,10406,建物1,四層,5,華廈,住家用,鋼筋混凝土造,8311,4房,2廳,3衛,有隔間,有管理組織,9000,599,,0,0,租金含管理費
東區,建物,南大路634巷31～60號,0,,,,10407,建物1,見其他登記事項,5,店面,見其他登記事項,鋼筋混凝土造,9501,4房,2廳,4衛,有隔間,有管理組織,40000,625,,0,0,"租金含管理費,不含稅金(租賃稅及二代健保)"
北區,建物,中山路296巷1～30號,0,,,,10407,建物1,五層,5,公寓,住家用,鋼筋混凝土造,8406,4房,2廳,2衛,有隔間,無管理組織,10000,452,,0,0,無
東區,建物,明湖路1050巷181～210號,0,,山坡地保育區,,10407,建物1,一層,5,華廈,住家用,鋼筋混凝土造,8311,3房,2廳,2衛,有隔間,有管理組織,11000,1040,,0,0,租金含管理費
北區,地+建+車,延平路一段161巷1～30號,41.29,商41.29,,,10408,土地2建物2車位1,見其他登記事項,3,透天厝,見其他登記事項,鋼筋混凝土造,9512,4房,2廳,3衛,有隔間,有管理組織,30000,408,坡道平面,0,0,無
北區,建物,光華二街81巷10弄61～90號,0,,,,10407,建物1車位1,二層,6,華廈,住家用，共同使用部份,鋼筋混凝土造,8305,3房,2廳,2衛,有隔間,有管理組織,15000,403,坡道機械,0,0,含管理費1667
北區,建物,金竹路102巷1～30號,0,,,,10407,建物1,七層,7,套房,住家用，共同使用部份,鋼筋混凝土造,8103,1房,,1衛,有隔間,有管理組織,7000,645,,0,0,含管理費700
東區,建物,世界街31～60號,0,,,,10408,建物1,十一層,14,住宅大樓,見其他登記事項,鋼筋混凝土造,9806,3房,2廳,2衛,有隔間,有管理組織,36148,554,,0,0,無
北區,建物,東大路二段541～570號,0,,鄉村區,,10407,建物1車位1,五層,9,華廈,見其他登記事項，共同使用部份,鋼筋混凝土造,10307,3房,2廳,2衛,有隔間,有管理組織,15000,513,坡道機械,0,0,無
東區,建物,經國路一段631～660號,0,,,,10408,建物2,見其他登記事項,3,透天厝,住商用,鋼筋混凝土造,7406,,,,無隔間,無管理組織,77000,1150,,0,0,無
香山區,建物,東華路1～30號,0,,,,10407,建物1車位1,二層,15,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10308,3房,2廳,2衛,有隔間,有管理組織,19000,388,坡道平面,0,0,含管2000
東區,建物,中央路331～360號,0,,,,10408,建物1,三層,7,透天厝,住家用，共同使用部份,鋼筋混凝土造,8310,,,,無隔間,無管理組織,24000,600,,0,0,無
東區,建物,東區東門街34巷1～30號,0,,,,10408,建物1,一層,25,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10110,3房,2廳,2衛,有隔間,有管理組織,39000,837,,0,0,無
東區,建物,光復路一段108巷1～30號,0,,,,10408,建物1,二層,5,套房,,鋼筋混凝土造,8005,1房,,1衛,有隔間,無管理組織,10000,969,,0,0,含管500
東區,建物,明湖路1050巷31～60號,0,,山坡地保育區,,10408,建物1車位1,三層,5,公寓,住家用，共同使用部份，見其他登記事項,鋼筋混凝土造,8206,2房,2廳,1衛,有隔間,有管理組織,9000,294,坡道平面,0,0,無
東區,建物,南大路541～570號,0,,,,10408,建物1車位1,七層,8,華廈,住家用，共同使用部份,鋼筋混凝土造,8408,3房,2廳,2衛,有隔間,有管理組織,14000,336,坡道機械,0,0,無
東區,建物,南門街61～90號,0,,,,10408,建物1,二層,7,華廈,住商用，共同使用部份,鋼筋混凝土造,7008,3房,2廳,1衛,有隔間,無管理組織,9000,309,,0,0,無
東區,建物,自由路66巷1～30號,0,,,,10408,建物1,三層,7,華廈,住家用，見其他登記事項,鋼筋混凝土造,8707,3房,2廳,2衛,有隔間,無管理組織,13000,344,,0,0,無
東區,建物,光復路二段331～360號,0,,,,10408,建物1,見其他登記事項,2,店面,住家用,加強磚造,6012,,,,無隔間,無管理組織,159091,2900,,0,0,租金14萬 租賃所得稅及二代健保補充保費共19091元
東區,建物,公道五路二段181～210號,0,,,,10407,建物1車位30,五層,7,廠辦,見其他登記事項,見其他登記事項,9104,,,,無隔間,有管理組織,174300,1188,坡道平面,0,0,無
東區,建物,食品路1～30號,0,,,,10407,建物1,三層,9,套房,見其他登記事項，共同使用部份，見使用執照,鋼筋混凝土造,8701,1房,,1衛,有隔間,有管理組織,8500,566,,0,0,含管理費1000
東區,建物,關新北路1～30號,0,,,,10407,建物1車位2,十四層,23,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10310,3房,2廳,2衛,有隔間,有管理組織,60000,635,坡道平面,64.44,0,無
東區,建物,明湖路721～750號,0,,,,10408,建物1,三層,4,套房,見其他登記事項,鋼筋混凝土造,9402,1房,,1衛,有隔間,有管理組織,10000,1156,,0,0,"租金含管理費,網路,第四台"
東區,建物,民族路178巷1～30號,0,,,,10408,建物1,六層,6,套房,住家用,鋼筋混凝土造,8310,1房,,1衛,有隔間,有管理組織,8500,883,,0,0,租金含第四台及管理費
北區,建物,成德路151～180號,0,,,,10408,建物1,三層,5,華廈,住家用,鋼筋混凝土造,8410,2房,2廳,1衛,有隔間,有管理組織,8000,532,,0,0,無
香山區,建物,中華路四段64巷12弄1～30號,0,,,,10408,建物1,二層,5,華廈,見使用執照,鋼筋混凝土造,8104,2房,2廳,2衛,有隔間,有管理組織,13500,537,,0,0,租金含管理費
北區,建物,境福街61～90號,0,,,,10408,建物1,三層,7,套房,見其他登記事項,鋼筋混凝土造,9606,1房,,1衛,有隔間,有管理組織,9000,1050,,0,0,租金含管理費.MOD.網路
東區,建物,東明街211～240號,0,,,,10408,建物1,三層,11,套房,見其他登記事項,鋼筋混凝土造,10310,1房,,1衛,有隔間,有管理組織,10500,1535,,0,0,"租金含管理費,網路,第四台"
北區,地+建,嘉濱路61～90號,204.02,住204.02,,,10408,土地1建物1,見其他登記事項,4,透天厝,見其他登記事項,鋼筋混凝土造,8706,3房,2廳,2衛,有隔間,無管理組織,18000,733,,0,0,無
東區,建物,經國路一段379巷31～60號,0,,,,10408,建物1車位1,五層,7,華廈,住家用，共同使用部份,鋼筋混凝土造,8806,3房,2廳,2衛,有隔間,無管理組織,17000,402,坡道機械,0,0,含管500
東區,建物,建功一路47巷1～30號,0,,,,10408,建物1,一層,5,公寓,住家用,鋼筋混凝土造,7305,3房,2廳,2衛,有隔間,無管理組織,16000,697,,0,0,無
東區,建物,東區光復路一段459巷31～60號,0,,,,10408,建物1車位1,二層,9,華廈,住家用,鋼筋混凝土造,9008,4房,2廳,2衛,有隔間,有管理組織,21600,601,坡道平面,0,0,無
東區,建物,東南街271～300號,0,,,,10408,建物1,二層,2,透天厝,住商用,加強磚造,,2房,1廳,2衛,有隔間,無管理組織,25000,1323,,0,0,無
北區,地+建,嘉濱路61～90號,81.15,住81.15,,,10408,土地1建物1,見其他登記事項,4,透天厝,見其他登記事項,鋼筋混凝土造,8706,6房,2廳,3衛,有隔間,無管理組織,18000,292,,0,0,無
東區,建物,八德路151～180號,0,,,,10408,建物1,十一層,14,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10308,3房,2廳,2衛,有隔間,有管理組織,35000,505,,0,0,建物+車位
